Residence,Region,Sub-Region,Period,Business,Pleasure,Visit Relatives,Conference,Study,Exhibition,Medical Treatment,Others,Unstated
Philippines,Asia,Southeast Asia,2011-11,1668,1377,514,319,53,0,0,3602,309
"Others, America",America,,2011-11,152,79,65,32,47,0,0,104,3
Indonesia,Asia,Southeast Asia,2011-11,1666,1639,666,269,113,0,0,8060,371
Malaysia,Asia,Southeast Asia,2011-11,2160,31095,1898,953,254,0,0,1992,54
Middle East,Asia,,2011-11,734,122,64,99,13,0,0,138,11
India,Asia,,2011-11,1140,166,123,262,41,0,0,319,32
"Korea,Republic of",Asia,,2011-11,5603,11288,861,1075,248,0,0,1730,73
Japan,Asia,,2011-11,26824,96275,2569,1528,402,0,0,2885,55
Mainland China,Asia,,2011-11,12895,158150,8349,3406,252,0,0,15001,15091
HongKong. Macao,Asia,,2011-11,6382,43150,2128,739,105,0,0,6759,6126
Singapore,Asia,Southeast Asia,2011-11,4114,29096,1401,504,249,0,0,2850,81
Belgium,Europe,,2011-11,216,100,25,23,8,0,0,30,0
Brazil,America,,2011-11,173,44,29,25,2,0,0,32,5
Germany,Europe,,2011-11,2960,879,314,165,101,0,0,321,10
Unstated,,,2011-11,1,6,10,0,0,0,0,11,2103
"Others, Africa",Africa,,2011-11,142,28,30,40,15,0,0,81,1
S. Africa,Africa,,2011-11,143,37,68,36,22,0,0,24,12
"Others, Oceania",Oceania,,2011-11,21,21,6,8,7,0,0,19,1
New Zealand,Oceania,,2011-11,232,270,270,57,9,0,0,48,5
France,Europe,,2011-11,1335,576,312,122,135,0,0,237,4
"Others, Europe",Europe,,2011-11,1111,776,172,185,87,0,0,506,33
Russian Federation,Europe,,2011-11,301,81,26,64,10,0,0,86,14
Sweden,Europe,,2011-11,319,149,62,42,26,0,0,45,3
Australia,Oceania,,2011-11,1175,2441,941,308,81,0,0,363,19
Austria,Europe,,2011-11,271,183,47,33,19,0,0,46,3
United Kingdom,Europe,,2011-11,1997,1327,430,212,29,0,0,258,16
Spain,Europe,,2011-11,317,124,29,38,20,0,0,88,5
Switzerland,Europe,,2011-11,440,197,60,29,11,0,0,32,2
Netherlands,Europe,,2011-11,691,390,108,47,25,0,0,174,4
Italy,Europe,,2011-11,908,155,67,49,19,0,0,133,4
Greece,Europe,,2011-11,50,27,7,3,1,0,0,57,5
Mexico,America,,2011-12,32,25,19,2,6,0,0,16,0
Philippines,Asia,Southeast Asia,2011-12,1278,2867,719,85,30,0,0,3613,309
Brazil,America,,2011-12,71,93,92,9,21,0,0,50,25
United States of America,America,,2011-12,8358,11558,17735,455,239,0,0,2420,228
Canada,America,,2011-12,878,4160,1928,57,46,0,0,318,15
"Others, Asia",Asia,,2011-12,200,196,343,33,40,0,0,286,10
"Others, Southeast Asia",Asia,Southeast Asia,2011-12,1133,628,1650,104,126,0,0,3101,287
Thailand,Asia,Southeast Asia,2011-12,1635,3821,853,91,71,0,0,2513,67
Indonesia,Asia,Southeast Asia,2011-12,1422,3804,953,127,82,0,0,8144,493
Greece,Europe,,2011-12,35,15,5,1,1,0,0,21,1
Malaysia,Asia,Southeast Asia,2011-12,1734,36791,1894,307,182,0,0,1639,54
Middle East,Asia,,2011-12,655,102,59,36,11,0,0,60,2
India,Asia,,2011-12,871,108,206,92,19,0,0,277,17
"Korea,Republic of",Asia,,2011-12,4562,12745,1139,407,251,0,0,1625,73
Japan,Asia,,2011-12,23890,97289,3733,893,273,0,0,2632,62
HongKong. Macao,Asia,,2011-12,5105,71925,2840,479,127,0,0,9582,7141
Argentina,America,,2011-12,13,11,30,7,3,0,0,10,17
Mainland China,Asia,,2011-12,11612,132331,8230,1759,245,0,0,16198,10942
Singapore,Asia,Southeast Asia,2011-12,2835,49622,1883,222,118,0,0,1786,45
"Others, America",America,,2011-12,87,98,117,19,53,0,0,69,11
Sweden,Europe,,2011-12,204,171,79,11,22,0,0,40,2
France,Europe,,2011-12,751,721,495,59,132,0,0,244,8
Unstated,,,2011-12,3,9,7,0,2,0,0,8,2758
Belgium,Europe,,2011-12,131,81,37,7,4,0,0,13,2
S. Africa,Africa,,2011-12,116,145,149,7,4,0,0,50,12
"Others, Oceania",Oceania,,2011-12,18,20,12,3,0,0,0,20,1
New Zealand,Oceania,,2011-12,165,548,448,16,13,0,0,47,5
Australia,Oceania,,2011-12,807,4333,1583,101,45,0,0,378,37
"Others, Europe",Europe,,2011-12,656,966,202,73,74,0,0,387,25
Russian Federation,Europe,,2011-12,232,58,44,24,11,0,0,151,8
"Others, Africa",Africa,,2011-12,126,32,40,7,12,0,0,51,1
Austria,Europe,,2011-12,129,172,79,8,20,0,0,39,1
United Kingdom,Europe,,2011-12,998,1455,537,82,18,0,0,187,11
Spain,Europe,,2011-12,144,138,78,14,22,0,0,108,0
Switzerland,Europe,,2011-12,213,166,101,9,18,0,0,20,1
Netherlands,Europe,,2011-12,417,362,132,21,28,0,0,179,3
Italy,Europe,,2011-12,394,161,101,38,18,0,0,117,1
Germany,Europe,,2011-12,1504,920,458,66,82,0,0,239,10
S. Africa,Africa,,2012-01,183,71,123,4,9,0,1,35,0
Canada,America,,2012-01,936,2784,2049,40,43,2,1,379,0
"Others, Asia",Asia,,2012-01,136,151,285,6,37,1,8,215,0
"Others, Southeast Asia",Asia,Southeast Asia,2012-01,80,319,149,10,7,0,4,216,0
Vietnam,Asia,Southeast Asia,2012-01,1040,766,1912,33,137,1,4,1626,0
Thailand,Asia,Southeast Asia,2012-01,1860,1114,934,48,47,13,7,1384,0
Philippines,Asia,Southeast Asia,2012-01,2510,1203,1008,211,33,3,18,2544,0
Indonesia,Asia,Southeast Asia,2012-01,1458,1268,906,103,96,6,25,7772,0
Singapore,Asia,Southeast Asia,2012-01,2832,9648,1634,173,27,9,2,719,0
"Korea,Republic of",Asia,,2012-01,3928,17539,1572,205,333,52,3,2128,0
Middle East,Asia,,2012-01,499,63,96,3,13,0,0,54,0
India,Asia,,2012-01,764,72,201,45,18,1,0,344,0
United States of America,America,,2012-01,8031,7366,13793,320,322,12,14,2770,0
Japan,Asia,,2012-01,21166,63910,5612,408,387,29,4,2062,0
Mainland China,Asia,,2012-01,2977,106087,6579,975,35,18,80,23681,0
HongKong. Macao,Asia,,2012-01,4462,45536,3857,307,52,7,10,10126,0
"Others, Africa",Africa,,2012-01,106,11,42,11,7,0,0,43,0
Unstated,,,2012-01,5,10,20,0,0,0,0,2635,0
Malaysia,Asia,Southeast Asia,2012-01,1768,15044,2602,171,280,23,15,735,0
Mexico,America,,2012-01,44,15,25,3,10,0,0,14,0
"Others, Oceania",Oceania,,2012-01,6,13,18,3,9,0,1,10,0
Argentina,America,,2012-01,6,27,35,0,0,0,0,32,0
Austria,Europe,,2012-01,115,161,92,3,9,2,0,49,0
Greece,Europe,,2012-01,16,12,3,0,0,0,0,23,0
Sweden,Europe,,2012-01,191,143,95,5,21,1,0,37,0
Russian Federation,Europe,,2012-01,136,53,44,20,30,0,3,71,0
"Others, Europe",Europe,,2012-01,584,575,248,15,73,5,3,240,0
Australia,Oceania,,2012-01,659,3963,1840,68,39,4,0,419,0
Brazil,America,,2012-01,79,162,112,6,12,0,0,50,0
United Kingdom,Europe,,2012-01,1202,1461,690,26,27,8,0,219,0
Spain,Europe,,2012-01,127,100,77,5,29,0,0,48,0
"Others, America",America,,2012-01,70,105,132,24,135,1,0,75,0
Belgium,Europe,,2012-01,108,74,51,4,13,2,0,17,0
France,Europe,,2012-01,795,457,561,34,109,26,0,254,0
Germany,Europe,,2012-01,1398,692,500,33,44,11,2,237,0
Italy,Europe,,2012-01,388,147,125,8,21,0,0,93,0
Netherlands,Europe,,2012-01,447,285,175,4,24,0,2,173,0
Switzerland,Europe,,2012-01,194,117,124,7,11,0,0,27,0
New Zealand,Oceania,,2012-01,146,427,428,11,2,1,0,58,0
Mainland China,Asia,,2012-02,3828,124408,4161,191,898,18,659,29279,0
France,Europe,,2012-02,989,492,449,53,303,5,0,201,0
Germany,Europe,,2012-02,2123,712,283,71,150,8,0,220,0
Italy,Europe,,2012-02,606,119,66,35,32,7,0,111,0
United Kingdom,Europe,,2012-02,1526,1006,367,77,30,7,2,191,0
Switzerland,Europe,,2012-02,303,130,79,16,17,1,0,30,0
Spain,Europe,,2012-02,197,90,32,19,40,2,0,44,0
Belgium,Europe,,2012-02,185,76,37,14,10,0,0,19,0
Netherlands,Europe,,2012-02,574,365,102,20,37,4,1,180,0
"Others, America",America,,2012-02,109,86,91,7,339,1,0,76,0
Argentina,America,,2012-02,10,18,17,1,2,0,0,14,0
Brazil,America,,2012-02,111,59,41,10,10,1,0,31,0
Japan,Asia,,2012-02,25888,100605,2818,780,838,48,6,2810,0
"Korea,Republic of",Asia,,2012-02,4684,14555,1106,393,761,48,4,1733,0
India,Asia,,2012-02,1099,68,241,181,114,6,2,319,0
Middle East,Asia,,2012-02,632,87,48,172,43,5,9,81,0
Malaysia,Asia,Southeast Asia,2012-02,2042,15788,1555,356,6427,111,28,846,0
Singapore,Asia,Southeast Asia,2012-02,3911,11751,826,323,181,32,3,1175,0
HongKong. Macao,Asia,,2012-02,6284,33894,4177,624,192,7,12,11186,0
Indonesia,Asia,Southeast Asia,2012-02,1578,1150,735,162,968,12,36,7640,0
Thailand,Asia,Southeast Asia,2012-02,2299,2605,836,131,321,37,9,2822,0
Vietnam,Asia,Southeast Asia,2012-02,1594,308,2783,179,1517,10,11,3171,0
"Others, Southeast Asia",Asia,Southeast Asia,2012-02,38,78,119,9,45,0,1,291,0
Canada,America,,2012-02,1038,2339,1065,46,92,7,3,284,0
United States of America,America,,2012-02,10769,6408,7477,417,419,18,22,1887,0
Mexico,America,,2012-02,47,28,16,7,18,1,0,18,0
Philippines,Asia,Southeast Asia,2012-02,1637,1665,483,196,169,25,37,3558,0
"Others, Asia",Asia,,2012-02,154,93,137,65,242,2,8,151,0
Austria,Europe,,2012-02,186,155,68,7,21,0,0,42,0
"Others, Europe",Europe,,2012-02,856,602,186,141,188,14,2,291,0
Sweden,Europe,,2012-02,269,116,50,1,59,1,0,41,0
Russian Federation,Europe,,2012-02,280,57,33,36,63,8,0,105,0
Australia,Oceania,,2012-02,1033,3091,738,160,51,17,2,233,0
New Zealand,Oceania,,2012-02,192,271,194,29,12,0,0,38,0
"Others, Oceania",Oceania,,2012-02,13,18,6,4,19,0,0,4,0
S. Africa,Africa,,2012-02,212,39,121,5,11,4,1,19,0
"Others, Africa",Africa,,2012-02,109,14,34,42,72,0,1,50,0
Unstated,,,2012-02,2,7,10,0,1,0,0,2568,0
Greece,Europe,,2012-02,47,7,5,16,1,0,0,40,0
Switzerland,Europe,,2012-03,401,145,59,20,7,11,0,51,0
Netherlands,Europe,,2012-03,851,344,95,24,18,16,0,125,0
Germany,Europe,,2012-03,2803,1424,397,91,51,57,1,746,0
France,Europe,,2012-03,1394,597,374,76,91,46,1,228,0
Belgium,Europe,,2012-03,242,78,55,15,7,10,0,20,0
"Others, America",America,,2012-03,221,93,108,36,77,10,0,100,0
Argentina,America,,2012-03,42,4,9,3,5,10,0,12,0
Brazil,America,,2012-03,236,75,40,14,6,25,0,40,0
Mexico,America,,2012-03,131,46,22,8,9,17,0,24,0
United States of America,America,,2012-03,12433,8666,10932,544,290,111,23,2203,0
Canada,America,,2012-03,1161,3245,1657,78,22,17,3,342,0
Italy,Europe,,2012-03,975,156,75,28,20,78,0,114,0
Spain,Europe,,2012-03,314,123,53,14,34,29,0,43,0
Thailand,Asia,Southeast Asia,2012-03,2373,2545,1040,315,223,121,8,3373,0
"Others, Asia",Asia,,2012-03,278,69,154,32,47,25,12,214,0
Austria,Europe,,2012-03,257,169,69,10,11,11,0,64,0
Greece,Europe,,2012-03,60,10,3,5,0,3,0,20,0
Sweden,Europe,,2012-03,449,245,64,18,28,8,0,44,0
Russian Federation,Europe,,2012-03,268,56,28,22,24,38,0,72,0
"Others, Europe",Europe,,2012-03,1295,762,182,101,76,91,1,376,0
Vietnam,Asia,Southeast Asia,2012-03,1013,453,2388,87,196,15,23,4095,0
New Zealand,Oceania,,2012-03,282,263,211,25,6,19,0,37,0
"Others, Oceania",Oceania,,2012-03,12,21,7,4,1,0,0,17,0
S. Africa,Africa,,2012-03,194,68,67,19,6,13,0,26,0
"Others, Africa",Africa,,2012-03,175,13,28,14,7,8,0,47,0
Unstated,,,2012-03,1,11,8,0,0,0,0,2434,0
United Kingdom,Europe,,2012-03,2006,1923,527,128,31,71,0,255,0
"Others, Southeast Asia",Asia,Southeast Asia,2012-03,70,216,133,3,8,1,5,232,0
Australia,Oceania,,2012-03,1321,2622,1010,154,27,98,6,260,0
Philippines,Asia,Southeast Asia,2012-03,1725,1859,671,471,37,45,67,4151,0
Indonesia,Asia,Southeast Asia,2012-03,1512,2178,768,152,122,138,24,7246,0
Singapore,Asia,Southeast Asia,2012-03,4451,21350,1171,319,118,111,12,3321,0
Malaysia,Asia,Southeast Asia,2012-03,2211,27958,1571,339,437,177,43,1020,0
Middle East,Asia,,2012-03,861,142,57,50,20,32,1,100,0
India,Asia,,2012-03,1161,126,181,81,38,64,2,401,0
"Korea,Republic of",Asia,,2012-03,5719,12742,949,404,196,99,4,1458,0
Japan,Asia,,2012-03,26908,116735,3730,933,515,79,9,3318,0
Mainland China,Asia,,2012-03,4585,211910,4286,247,29,704,2065,29379,0
HongKong. Macao,Asia,,2012-03,6886,59079,2106,581,66,35,6,12964,0
HongKong. Macao,Asia,,2012-04,5426,82666,2516,603,113,20,14,18232,0
Austria,Europe,,2012-04,184,133,84,5,11,0,0,29,0
Greece,Europe,,2012-04,49,9,2,5,0,2,0,31,0
Sweden,Europe,,2012-04,301,185,99,30,20,7,0,40,0
Russian Federation,Europe,,2012-04,358,82,29,43,18,76,1,109,0
"Others, Europe",Europe,,2012-04,960,917,148,136,85,76,2,298,0
Unstated,,,2012-04,2,7,9,0,0,1,0,4496,0
Mainland China,Asia,,2012-04,4297,234285,4211,593,182,537,4266,30344,0
"Others, Oceania",Oceania,,2012-04,14,7,7,9,3,1,0,24,0
S. Africa,Africa,,2012-04,163,49,66,11,5,4,0,21,0
"Others, Africa",Africa,,2012-04,271,20,46,21,16,23,0,67,0
United Kingdom,Europe,,2012-04,1486,1462,462,85,23,29,1,233,0
Australia,Oceania,,2012-04,1124,2855,1099,136,20,62,4,284,0
Spain,Europe,,2012-04,241,150,64,27,23,6,0,71,0
New Zealand,Oceania,,2012-04,237,376,292,27,6,5,3,52,0
Netherlands,Europe,,2012-04,585,451,146,22,22,6,0,133,0
Japan,Asia,,2012-04,25013,77928,3599,687,316,90,11,2669,0
"Korea,Republic of",Asia,,2012-04,5155,11673,918,419,171,154,2,1370,0
India,Asia,,2012-04,1128,156,225,121,16,41,0,359,0
Switzerland,Europe,,2012-04,288,208,112,10,14,1,0,37,0
Malaysia,Asia,Southeast Asia,2012-04,2215,22889,1493,324,266,204,31,912,0
Singapore,Asia,Southeast Asia,2012-04,4058,19788,1059,306,43,132,4,2078,0
Indonesia,Asia,Southeast Asia,2012-04,1675,2405,672,118,114,112,45,6819,0
Philippines,Asia,Southeast Asia,2012-04,2033,3372,1034,151,265,67,37,3662,0
Thailand,Asia,Southeast Asia,2012-04,2501,4204,1292,152,258,152,8,2537,0
Vietnam,Asia,Southeast Asia,2012-04,881,715,2140,64,212,16,10,2648,0
"Others, Southeast Asia",Asia,Southeast Asia,2012-04,65,145,170,9,7,8,6,200,0
Middle East,Asia,,2012-04,807,112,92,39,53,74,3,77,0
Canada,America,,2012-04,1059,2968,1395,78,50,22,4,301,0
"Others, Asia",Asia,,2012-04,269,88,106,38,26,35,4,192,0
Germany,Europe,,2012-04,2049,923,359,75,54,10,1,178,0
Belgium,Europe,,2012-04,206,127,40,8,7,4,0,37,0
"Others, America",America,,2012-04,313,99,105,33,59,27,0,67,0
Argentina,America,,2012-04,38,14,9,6,0,3,0,9,0
France,Europe,,2012-04,1068,672,529,46,134,22,1,234,0
Mexico,America,,2012-04,133,35,25,2,5,7,0,21,0
United States of America,America,,2012-04,10881,8836,11138,498,282,58,28,2039,0
Brazil,America,,2012-04,189,109,45,6,9,21,0,30,0
Italy,Europe,,2012-04,619,156,68,47,7,17,0,101,0
Germany,Europe,,2012-05,1850,815,284,65,68,7,1,181,0
Austria,Europe,,2012-05,186,99,37,11,14,3,0,27,0
Italy,Europe,,2012-05,636,145,64,59,12,8,0,81,0
Netherlands,Europe,,2012-05,472,300,108,16,22,2,0,90,0
Switzerland,Europe,,2012-05,296,178,53,10,11,3,0,15,0
Spain,Europe,,2012-05,188,81,40,16,20,4,0,59,0
France,Europe,,2012-05,846,548,321,77,127,11,1,218,0
United Kingdom,Europe,,2012-05,1479,1110,363,69,19,5,4,161,0
Australia,Oceania,,2012-05,1022,1699,677,136,17,18,6,246,0
Sweden,Europe,,2012-05,278,104,34,9,16,3,3,53,0
Russian Federation,Europe,,2012-05,185,87,22,28,14,5,0,81,0
"Others, Europe",Europe,,2012-05,760,570,131,66,69,14,0,333,0
New Zealand,Oceania,,2012-05,177,221,196,22,6,2,1,36,0
"Others, Oceania",Oceania,,2012-05,19,20,12,5,6,0,1,22,0
S. Africa,Africa,,2012-05,117,44,61,3,7,0,1,12,0
"Others, Africa",Africa,,2012-05,162,22,27,11,8,0,0,90,0
Belgium,Europe,,2012-05,175,81,26,11,8,0,0,23,0
Unstated,,,2012-05,1,2,7,1,0,0,0,1802,0
Greece,Europe,,2012-05,38,11,8,5,1,0,0,26,0
"Others, America",America,,2012-05,168,87,97,34,63,5,0,123,0
"Others, Asia",Asia,,2012-05,203,88,141,31,27,2,5,203,0
Brazil,America,,2012-05,119,57,42,4,6,8,1,27,0
Argentina,America,,2012-05,15,12,23,3,2,0,0,13,0
HongKong. Macao,Asia,,2012-05,6539,53124,1727,564,68,6,13,12664,0
Mainland China,Asia,,2012-05,4288,181876,4278,165,37,115,4336,33512,0
Japan,Asia,,2012-05,25403,84745,2496,889,357,53,8,2277,0
"Korea,Republic of",Asia,,2012-05,4976,12505,912,406,219,70,3,1444,0
India,Asia,,2012-05,978,95,224,149,82,6,2,373,0
Malaysia,Asia,Southeast Asia,2012-05,1967,22325,1622,259,219,41,23,994,0
Singapore,Asia,Southeast Asia,2012-05,4034,18793,1060,328,146,38,5,1348,0
Middle East,Asia,,2012-05,627,91,43,34,11,8,4,70,0
Philippines,Asia,Southeast Asia,2012-05,1932,2088,779,127,42,1,33,4388,0
Thailand,Asia,Southeast Asia,2012-05,2180,2183,752,135,68,25,4,2947,0
Vietnam,Asia,Southeast Asia,2012-05,1201,769,2151,104,156,3,15,3329,0
"Others, Southeast Asia",Asia,Southeast Asia,2012-05,47,237,118,9,8,0,16,235,0
Canada,America,,2012-05,976,3196,1260,74,51,10,2,325,0
United States of America,America,,2012-05,10839,8958,11219,526,407,28,20,2287,0
Mexico,America,,2012-05,111,33,13,16,8,11,0,10,0
Indonesia,Asia,Southeast Asia,2012-05,1740,2154,746,106,99,36,36,7817,0
HongKong. Macao,Asia,,2012-06,6361,82104,2404,554,132,57,17,16357,0
Argentina,America,,2012-06,46,11,14,3,3,12,0,8,0
Brazil,America,,2012-06,234,41,51,22,5,34,0,51,0
Mexico,America,,2012-06,73,22,22,1,9,15,0,20,0
United States of America,America,,2012-06,10987,10534,16005,802,802,168,27,2993,0
Canada,America,,2012-06,1002,2330,1298,106,73,45,7,270,0
"Others, Asia",Asia,,2012-06,267,116,198,50,36,50,8,211,0
Mainland China,Asia,,2012-06,4631,152637,4605,139,16,1076,2763,33775,0
Philippines,Asia,Southeast Asia,2012-06,1829,1537,555,273,43,163,35,5103,0
"Korea,Republic of",Asia,,2012-06,5570,10638,1030,513,230,437,6,1407,0
India,Asia,,2012-06,1098,128,197,168,53,165,1,318,0
Middle East,Asia,,2012-06,987,143,72,69,15,164,1,101,0
Malaysia,Asia,Southeast Asia,2012-06,2159,15697,1680,459,294,406,41,1032,0
Singapore,Asia,Southeast Asia,2012-06,3800,20465,1322,370,136,214,7,1063,0
Indonesia,Asia,Southeast Asia,2012-06,1899,3443,1131,130,219,223,49,8700,0
"Others, America",America,,2012-06,243,92,125,39,99,39,2,132,0
Thailand,Asia,Southeast Asia,2012-06,2129,1192,675,188,112,243,8,2934,0
Japan,Asia,,2012-06,27899,74254,2592,818,320,274,15,2262,0
Belgium,Europe,,2012-06,192,75,61,22,6,12,0,33,0
Greece,Europe,,2012-06,45,9,4,4,0,6,0,26,0
Germany,Europe,,2012-06,2066,660,256,92,57,54,1,145,0
"Others, Southeast Asia",Asia,Southeast Asia,2012-06,77,170,153,29,7,10,6,182,0
Unstated,,,2012-06,4,5,11,0,1,4,1,3122,0
"Others, Africa",Africa,,2012-06,189,24,36,21,30,48,1,132,0
S. Africa,Africa,,2012-06,151,50,78,17,3,25,0,16,0
"Others, Oceania",Oceania,,2012-06,15,14,11,11,2,3,6,21,0
New Zealand,Oceania,,2012-06,186,263,204,31,4,17,0,93,0
Australia,Oceania,,2012-06,1077,2050,876,214,22,107,3,315,0
France,Europe,,2012-06,1186,564,483,104,126,66,0,250,0
"Others, Europe",Europe,,2012-06,1043,929,204,72,86,150,1,400,0
Sweden,Europe,,2012-06,251,158,120,8,14,14,0,32,0
Austria,Europe,,2012-06,175,74,54,5,5,4,0,43,0
United Kingdom,Europe,,2012-06,1442,1333,404,108,34,57,0,190,0
Spain,Europe,,2012-06,233,114,85,17,33,34,0,62,0
Switzerland,Europe,,2012-06,295,128,45,19,8,3,0,25,0
Netherlands,Europe,,2012-06,636,336,116,17,26,13,0,125,0
Italy,Europe,,2012-06,658,142,97,59,26,45,0,116,0
Russian Federation,Europe,,2012-06,455,86,45,37,52,196,0,160,0
Vietnam,Asia,Southeast Asia,2012-06,955,567,2306,60,132,30,18,3619,0
"Others, Africa",Africa,,2012-07,142,18,41,26,37,1,0,86,0
Unstated,,,2012-07,0,5,12,1,0,0,0,2944,0
Mainland China,Asia,,2012-07,4276,183406,6914,44,46,81,3665,37015,0
Indonesia,Asia,Southeast Asia,2012-07,1510,1605,806,120,378,27,39,8365,0
Singapore,Asia,Southeast Asia,2012-07,3932,10606,1062,330,73,20,8,1011,0
Malaysia,Asia,Southeast Asia,2012-07,1843,10411,1650,431,585,29,21,904,0
Middle East,Asia,,2012-07,612,114,99,53,27,7,0,131,0
India,Asia,,2012-07,1048,77,211,168,46,1,5,397,0
"Korea,Republic of",Asia,,2012-07,4574,10672,1424,314,390,53,1,1548,0
Philippines,Asia,Southeast Asia,2012-07,1749,1152,583,124,28,7,41,4413,0
Sweden,Europe,,2012-07,142,159,67,15,14,0,0,62,0
"Others, Europe",Europe,,2012-07,553,911,226,133,126,12,3,490,0
Australia,Oceania,,2012-07,870,2012,849,214,72,4,7,330,0
New Zealand,Oceania,,2012-07,200,238,181,36,12,1,0,78,0
"Others, Oceania",Oceania,,2012-07,25,31,24,16,19,0,8,27,0
S. Africa,Africa,,2012-07,148,41,112,33,10,0,0,40,0
Japan,Asia,,2012-07,26990,67351,3563,677,365,54,14,2319,0
Russian Federation,Europe,,2012-07,195,58,33,31,23,0,0,158,0
Thailand,Asia,Southeast Asia,2012-07,2099,1400,760,183,157,14,6,2712,0
Vietnam,Asia,Southeast Asia,2012-07,1006,609,2517,87,195,3,6,3353,0
"Others, Southeast Asia",Asia,Southeast Asia,2012-07,40,70,145,15,13,0,19,255,0
United Kingdom,Europe,,2012-07,1250,1160,494,90,38,7,2,159,0
Spain,Europe,,2012-07,172,128,109,21,27,1,0,51,0
Switzerland,Europe,,2012-07,247,240,152,9,27,4,0,33,0
Netherlands,Europe,,2012-07,391,607,217,35,36,0,1,176,0
Italy,Europe,,2012-07,546,170,102,33,38,4,1,112,0
Germany,Europe,,2012-07,1683,802,441,109,121,12,0,217,0
France,Europe,,2012-07,818,861,674,51,156,24,0,285,0
Belgium,Europe,,2012-07,173,165,64,11,11,3,0,37,0
"Others, America",America,,2012-07,116,116,107,65,113,1,0,102,0
Argentina,America,,2012-07,20,23,17,1,4,1,0,10,0
Brazil,America,,2012-07,87,112,59,14,9,0,0,69,0
Mexico,America,,2012-07,42,61,25,14,8,1,0,22,0
United States of America,America,,2012-07,9045,9473,13339,507,596,21,18,2584,0
Canada,America,,2012-07,834,2978,1632,142,67,6,9,351,0
"Others, Asia",Asia,,2012-07,179,16,50,39,49,0,8,207,0
HongKong. Macao,Asia,,2012-07,5441,69631,2443,378,105,9,16,16127,0
Austria,Europe,,2012-07,187,208,117,13,18,0,0,28,0
Greece,Europe,,2012-07,40,17,7,1,2,0,0,43,0
"Others, Africa",Africa,,2012-08,88,24,45,10,106,0,0,32,0
Argentina,America,,2012-08,14,8,9,1,4,0,0,12,0
Brazil,America,,2012-08,104,28,42,9,42,1,0,42,0
Mexico,America,,2012-08,39,28,25,6,40,0,0,16,0
United States of America,America,,2012-08,9091,7271,11338,374,548,20,21,2025,0
Canada,America,,2012-08,895,2524,1432,52,81,9,3,298,0
"Others, Asia",Asia,,2012-08,115,114,119,41,156,8,4,228,0
"Others, Southeast Asia",Asia,Southeast Asia,2012-08,45,141,110,13,79,0,5,265,0
Vietnam,Asia,Southeast Asia,2012-08,967,503,2377,87,505,1,20,3427,0
Thailand,Asia,Southeast Asia,2012-08,1832,1674,772,152,196,8,4,2496,0
Philippines,Asia,Southeast Asia,2012-08,1610,1250,577,240,59,1,24,4153,0
Indonesia,Asia,Southeast Asia,2012-08,1478,7916,1284,128,542,25,45,7377,0
Singapore,Asia,Southeast Asia,2012-08,3409,9432,1010,275,123,22,9,837,0
Malaysia,Asia,Southeast Asia,2012-08,1663,17738,1660,261,1682,35,33,919,0
Middle East,Asia,,2012-08,457,150,93,27,37,9,0,125,0
India,Asia,,2012-08,958,107,219,127,63,5,0,290,0
Mainland China,Asia,,2012-08,3572,159547,4735,135,220,109,4178,32506,0
Unstated,,,2012-08,1,8,4,0,0,0,0,2051,0
Belgium,Europe,,2012-08,155,112,47,6,22,0,0,28,0
Germany,Europe,,2012-08,1489,858,447,86,177,13,2,258,0
"Korea,Republic of",Asia,,2012-08,4079,13481,1511,401,514,70,3,1507,0
S. Africa,Africa,,2012-08,166,49,124,15,8,1,0,29,0
"Others, Oceania",Oceania,,2012-08,23,14,7,4,30,4,0,24,0
New Zealand,Oceania,,2012-08,185,206,173,19,13,0,1,33,0
Australia,Oceania,,2012-08,868,1310,670,122,44,10,2,291,0
"Others, Europe",Europe,,2012-08,617,846,184,77,180,4,0,346,0
Russian Federation,Europe,,2012-08,173,58,47,17,76,4,0,55,0
Sweden,Europe,,2012-08,195,77,66,5,35,0,0,33,0
Greece,Europe,,2012-08,32,10,8,0,0,0,0,29,0
Austria,Europe,,2012-08,134,172,87,4,20,1,0,28,0
United Kingdom,Europe,,2012-08,1131,1219,477,64,43,8,1,162,0
Spain,Europe,,2012-08,129,170,104,9,32,2,0,64,0
Switzerland,Europe,,2012-08,247,154,51,15,17,0,0,24,0
Netherlands,Europe,,2012-08,407,401,160,17,46,1,0,116,0
Italy,Europe,,2012-08,306,206,109,19,46,9,1,122,0
France,Europe,,2012-08,556,935,629,43,184,7,1,263,0
